,Made Donation in March 2007
659,0.43
276,0.08
263,0.16
303,0.31
83,0.52
500,0.70
530,0.25
244,0.03
249,-0.02
728,0.05
129,0.10
534,0.12
317,0.21
401,0.16
696,0.29
192,0.05
176,0.21
571,0.41
139,0.05
423,0.29
563,0.43
56,0.31
528,0.38
101,0.16
467,0.20
382,0.23
466,0.35
294,0.03
512,0.31
659,0.43
389,0.24
487,0.02
701,0.26
419,0.21
536,0.11
240,0.23
508,0.13
515,0.03
283,0.35
650,0.16
65,0.43
228,0.12
741,0.04
297,0.38
464,0.08
63,0.26
231,0.37
28,0.08
248,0.03
357,0.13
300,0.45
726,0.52
680,0.12
520,0.28
254,0.01
582,0.17
143,0.15
98,0.45
1,0.27
221,0.43
352,0.16
64,0.07
138,0.22
745,0.30
64,0.07
688,0.05
623,0.07
289,0.16
174,0.30
690,0.16
105,0.16
427,0.09
48,-0.04
14,0.16
657,0.03
301,0.11
455,0.09
579,0.21
722,0.08
98,0.45
491,-0.04
303,0.31
466,0.35
65,0.43
300,0.45
9,0.00
622,0.05
323,0.05
289,0.16
568,0.33
290,0.16
156,0.07
464,0.08
426,0.04
306,0.21
4,0.28
12,0.35
187,0.23
406,0.05
96,0.25
509,0.26
733,0.11
548,0.03
478,0.22
501,0.10
127,0.48
199,0.16
299,0.38
162,0.16
235,0.07
23,0.13
473,0.16
487,0.02
683,0.43
303,0.31
309,0.02
569,-0.01
34,0.39
686,0.60
84,0.25
733,0.11
537,0.48
181,0.13
453,0.65
67,0.36
161,0.35
307,0.24
703,0.08
181,0.13
246,0.06
316,0.35
278,0.05
346,0.13
545,0.16
419,0.21
694,0.25
622,0.05
663,0.03
262,0.60
461,0.17
373,0.73
233,0.16
466,0.35
207,0.15
263,0.16
16,-0.01
513,0.02
449,0.28
429,0.01
701,0.26
632,0.02
529,0.57
245,0.27
344,0.11
353,0.07
241,0.25
633,0.02
624,0.26
726,0.52
189,0.05
138,0.22
402,0.03
511,0.39
590,0.42
334,0.13
447,0.04
119,0.35
389,0.24
644,0.16
423,0.29
131,-0.01
405,-0.05
82,0.16
643,0.74
156,0.07
617,0.03
574,0.45
272,0.18
613,0.04
545,0.16
685,0.03
570,0.16
537,0.48
691,0.02
85,0.38
483,0.06
455,0.09
93,0.05
744,0.26
33,0.06
321,0.63
523,0.20
426,0.04
196,0.06
301,0.11
103,0.02
224,0.02
454,0.07
585,0.01
154,0.28
